iter	RMSE
0	865.7736507
1	864.4968082
2	863.2809506
3	862.3037837
4	861.6558898
5	860.8948343
6	860.1823773
7	859.4675526
8	858.896967
9	858.5471765
10	858.240965
11	857.8180102
12	857.4739162
13	857.2059091
14	857.0018174
15	856.7437558
16	856.4554151
17	856.0992395
18	855.8935768
19	855.6827733
20	855.4679723
21	855.3057766
22	855.0647379
23	854.9024499
24	854.7326449
25	854.3221494
26	854.0541536
27	853.8769877
28	853.826709
29	853.7273141
30	853.5896496
31	853.4746096
32	853.3952547
33	853.2117438
34	852.9753563
35	852.8162048
36	852.6895587
37	852.4508074
38	852.2963289
39	852.0156282
40	851.905081
41	851.7753365
42	851.6164158
43	851.4432541
44	851.2721996
45	851.0810451
46	850.9416723
47	850.8625458
48	850.6991646
49	850.4792397
50	850.3188971
51	850.1943273
52	850.0163512
53	849.8439436
54	849.6387548
55	849.5184117
56	849.2840025
57	849.1490601
58	848.9634673
59	848.7892791
60	848.6509649
61	848.5612405
62	848.4559516
63	848.384879
64	848.2715138
65	848.1190995
66	847.9570748
67	847.8477582
68	847.7842955
69	847.6566345
70	847.5667089
71	847.4679361
72	847.3002949
73	847.187072
74	847.0333814
75	846.9303506
76	846.8207573
77	846.7385002
78	846.6094897
79	846.4444405
80	846.3388099
81	846.3274381
82	846.1886613
83	845.9987796
84	845.9249484
85	845.7179306
86	845.561505
87	845.4307366
88	845.2236163
89	845.1172196
90	844.9763436
91	844.8309099
92	844.7028398
93	844.4472327
94	844.2785242
95	844.080487
96	843.9631562
97	843.7974341
98	843.692005
99	843.496455
100	843.3338178
101	843.1738563
102	843.0256439
103	842.9485292
104	842.8439853
105	842.7846844
106	842.6940092
107	842.5090195
108	842.4838368
109	842.3613668
110	842.2234286
111	842.1944498
112	842.1067914
113	841.949623
114	841.8169159
115	841.769161
116	841.6375478
117	841.478886
118	841.3508064
119	841.2025319
120	841.0429006
121	840.9860206
122	840.8642701
123	840.6931846
124	840.3915157
125	840.2792832
126	840.1076938
127	839.7117088
128	839.5473432
129	839.2949998
130	839.1485738
131	839.051586
132	838.8696777
133	838.7210103
134	838.6341348
135	838.546647
136	838.3764776
137	838.1096683
138	838.0045601
139	837.9004441
140	837.7941639
141	837.6608358
142	837.5062752
143	837.3796726
144	837.1860223
145	837.1054116
146	836.8812977
147	836.6643129
148	836.4947897
149	836.3275565
150	836.2021795
151	836.0219972
152	835.8199817
153	835.6780207
154	835.5834037
155	835.4135981
156	835.1700614
157	835.0539122
158	834.9020358
159	834.7103236
160	834.5949332
161	834.4694317
162	834.3670488
163	834.2798194
164	834.1992976
165	834.1079389
166	833.94335
167	833.6886545
168	833.6324005
169	833.3625596
170	832.9035463
171	832.7438048
172	832.5930426
173	832.4920762
174	832.4282955
175	832.2138897
176	832.0351475
177	831.9170289
178	831.7026651
