iter	Passed	Remaining
0	163	162907
1	176	87865
2	189	62874
3	202	50331
4	215	42884
5	228	37910
6	241	34311
7	253	31426
8	265	29215
9	276	27388
10	287	25860
11	298	24595
12	310	23560
13	321	22658
14	333	21891
15	344	21174
16	352	20379
17	358	19572
18	365	18859
19	371	18205
20	376	17569
21	381	16981
22	386	16421
23	390	15887
24	395	15436
25	401	15033
26	405	14595
27	408	14172
28	411	13792
29	415	13431
30	418	13086
31	422	12771
32	425	12466
33	428	12179
34	431	11909
35	435	11656
36	438	11423
37	442	11195
38	445	10978
39	448	10771
40	452	10574
41	455	10384
42	458	10206
43	461	10033
44	464	9868
45	468	9714
46	471	9563
47	474	9418
48	478	9280
49	481	9150
50	485	9026
51	488	8902
52	491	8780
53	494	8664
54	498	8557
55	501	8451
56	504	8346
57	507	8250
58	511	8152
59	514	8063
60	517	7972
61	521	7884
62	524	7799
63	527	7721
64	531	7645
65	534	7570
66	538	7493
67	541	7421
68	544	7350
69	548	7281
70	551	7211
71	554	7143
72	557	7082
73	560	7020
74	564	6959
75	567	6899
76	570	6841
77	574	6785
78	577	6730
79	580	6677
80	583	6625
81	585	6558
82	589	6509
83	592	6461
84	595	6412
85	598	6365
86	602	6321
87	605	6277
88	609	6234
89	612	6191
90	615	6149
91	619	6110
92	622	6072
93	626	6034
94	629	5995
95	632	5957
96	635	5920
97	639	5884
98	642	5848
99	645	5813
100	649	5780
101	652	5746
102	656	5712
103	659	5679
104	662	5646
105	666	5617
106	669	5585
107	672	5554
108	675	5523
109	678	5493
110	682	5464
111	684	5430
112	688	5401
113	691	5373
114	694	5346
115	697	5319
116	701	5292
117	704	5265
118	707	5239
119	711	5215
120	714	5189
121	717	5163
122	720	5138
123	723	5113
124	727	5091
125	730	5067
126	733	5044
127	737	5021
128	740	4999
129	743	4977
130	746	4954
131	750	4932
132	753	4910
133	756	4888
134	759	4868
135	762	4847
136	766	4827
137	769	4806
138	773	4788
139	776	4768
140	779	4749
141	782	4730
142	786	4712
143	790	4701
144	794	4684
145	797	4665
146	801	4649
147	804	4630
148	807	4613
149	810	4595
150	813	4576
151	817	4559
