Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Credit Score,Insurance Duration,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount,Year,Day,Month_name
25.0,Male,17983.0,Married,2.0,Bachelor's,Unemployed,15.9360115986693,Suburban,Comprehensive,1.0,456.0,2.0,Good,No,Rarely,Apartment,684.0,2022,25,October
30.0,Male,66590.0,Single,2.0,Master's,Unemployed,17.869550534911347,Rural,Premium,3.0,842.0,1.0,Good,No,Rarely,Condo,2975.0,2022,1,February
49.0,Male,5860.0,Married,4.0,Master's,Employed,37.27583689723404,Suburban,Basic,0.0,,9.0,Poor,Yes,Monthly,Condo,1673.0,2022,29,May
57.0,Male,36.0,Divorced,4.0,Master's,Self-Employed,25.26644418695573,Suburban,Premium,2.0,613.0,5.0,Average,Yes,Weekly,House,531.0,2020,6,December
18.0,Male,17663.0,Divorced,3.0,Master's,Employed,,Urban,Premium,0.0,574.0,4.0,Poor,No,Daily,Condo,1193.0,2023,7,July
35.0,Female,,Married,1.0,High School,Employed,14.053680065046644,Suburban,Basic,1.0,506.0,7.0,Average,Yes,Monthly,Apartment,2161.0,2020,19,August
26.0,Female,10981.0,Divorced,3.0,Master's,Employed,18.18395479606764,Suburban,Premium,1.0,311.0,6.0,Poor,No,Monthly,Apartment,541.0,2019,28,December
56.0,Female,,Married,0.0,PhD,Self-Employed,9.839156333921336,Urban,Comprehensive,1.0,428.0,6.0,Average,No,Weekly,Apartment,1679.0,2021,24,July
42.0,Male,78876.0,Single,1.0,Master's,,10.91280957647023,Urban,Premium,1.0,534.0,6.0,,No,Weekly,Apartment,2658.0,2020,1,July
32.0,Male,36316.0,Married,4.0,Master's,Employed,47.59192324741676,Suburban,Comprehensive,,706.0,1.0,Poor,No,Rarely,House,1210.0,2019,7,December
46.0,Female,60301.0,Married,4.0,Bachelor's,Self-Employed,26.6361078432512,Urban,Premium,0.0,457.0,8.0,Good,No,Monthly,House,603.0,2021,8,March
32.0,Male,23706.0,Single,2.0,Master's,,38.49383692044469,Urban,Comprehensive,1.0,,1.0,Average,Yes,Rarely,Apartment,1098.0,2024,29,January
36.0,Male,38572.0,Single,0.0,Master's,Unemployed,11.569222561263246,Suburban,Premium,2.0,707.0,2.0,Average,No,Weekly,Apartment,1253.0,2020,23,November
19.0,Male,22609.0,Single,4.0,High School,Unemployed,20.471249793902302,Urban,Premium,,477.0,2.0,Poor,Yes,Daily,Apartment,3628.0,2023,2,April
45.0,Male,11096.0,Single,,Bachelor's,Unemployed,17.907262779273783,Urban,Premium,1.0,818.0,6.0,Good,Yes,Daily,Condo,1109.0,2024,3,May
34.0,Male,29175.0,Married,0.0,PhD,Unemployed,24.271683681090945,Suburban,Premium,0.0,722.0,2.0,Poor,No,Rarely,Condo,2430.0,2022,8,August
55.0,Female,4717.0,Single,0.0,Master's,,11.171649655419673,Suburban,Comprehensive,,458.0,9.0,Good,Yes,Rarely,House,607.0,2020,31,January
50.0,Female,12053.0,Married,4.0,PhD,,8.03894163116484,Rural,Comprehensive,0.0,593.0,8.0,Good,No,Rarely,Apartment,951.0,2019,29,November
41.0,Female,12881.0,Divorced,4.0,High School,Unemployed,26.336760554656287,Suburban,Premium,1.0,613.0,1.0,Poor,Yes,Daily,House,486.0,2023,28,September
35.0,Male,43881.0,Married,4.0,High School,Unemployed,16.69562561489684,Urban,Premium,1.0,600.0,6.0,Good,No,Monthly,House,933.0,2020,5,July
43.0,Male,28804.0,Married,,High School,Employed,,Rural,Premium,0.0,838.0,6.0,Average,No,Rarely,House,2296.0,2019,7,December
25.0,Male,7949.0,Single,4.0,Master's,Self-Employed,21.88707911808377,Urban,Basic,3.0,486.0,2.0,Poor,No,Monthly,Apartment,25.0,2021,22,February
30.0,Male,20389.0,Divorced,3.0,Bachelor's,Employed,18.7550773441792,Suburban,Basic,1.0,825.0,6.0,,Yes,Rarely,Apartment,30.0,2019,22,November
20.0,Female,44253.0,Married,,Master's,,18.80963096211213,Urban,Comprehensive,,566.0,8.0,Average,No,Monthly,Apartment,549.0,2022,1,August
22.0,Female,100732.0,Single,4.0,PhD,Employed,24.77174796970532,Suburban,Premium,4.0,391.0,9.0,,Yes,Daily,Apartment,1203.0,2021,3,July
29.0,Female,1229.0,Single,1.0,Master's,Employed,,Rural,Basic,0.0,511.0,5.0,Good,Yes,Weekly,House,801.0,2020,13,June
32.0,Female,115044.0,Divorced,1.0,PhD,,27.85766995765996,Urban,Premium,0.0,401.0,4.0,Good,Yes,Daily,Condo,1978.0,2020,17,March
